,Unnamed: 0,PoissonFit,Conf_CountDist,Conf_LengthDist,Conf_Assort,Loop_Assort,Loop_Assort_GF,Proposed_CountDist,Proposed_LengthDist,Proposed_Assort
0,C2H6_3300K,"[3.90563099e-01 3.67194044e-01 1.72611630e-01 5.40945134e-02
 1.27144520e-02 2.39073843e-03 3.74615060e-04 5.03143207e-05
 5.91297505e-06 6.17686284e-07 5.80727480e-08 4.96345527e-09
 3.88872549e-10 2.81234344e-11 1.88862067e-12 1.18374430e-13
 6.95572396e-15 3.84678432e-16 2.00923045e-17 9.94215596e-19
 4.67363720e-20 2.09237789e-21 8.94173637e-23 3.65509312e-24
 1.43183055e-25 5.38463210e-27 1.94709485e-28 6.77996987e-30
 2.27653406e-31 7.38041147e-33 2.31293666e-34 7.01465744e-36]","[0.7933 0.1837 0.0218 0.0012 0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.37029017 0.2256388  0.13469034
 0.09008229 0.06323084 0.03767865 0.02338675 0.01992204 0.01559117
 0.00563014 0.0034647  0.00216544 0.00259853 0.00259853 0.00173235
 0.00086618 0.00043309 0.         0.         0.         0.
 0.         0.         0.        ]",-0.010199828230621,0.02003871039512,0.0305423474184816,"[0.2001 0.3448 0.2574 0.1319 0.0487 0.0133 0.0027 0.0007 0.0004 0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.47056915e-01
 1.13440197e-01 4.67973262e-01 2.02219482e-01 4.09500941e-02
 1.23953534e-02 5.32156532e-03 4.34810825e-03 2.98526835e-03
 8.43662794e-04 9.73457071e-04 6.48971380e-04 6.48971380e-04
 0.00000000e+00 6.48971380e-05 0.00000000e+00 0.00000000e+00
 6.48971380e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.48971380e-05 0.00000000e+00 0.00000000e+00]",0.0004340361374903
1,C2H6_4000K,"[1.14998981e-01 2.48723477e-01 2.68973549e-01 1.93914868e-01
 1.04851321e-01 4.53551587e-02 1.63492648e-02 5.05153048e-03
 1.36570148e-03 3.28198098e-04 7.09837352e-05 1.39568995e-05
 2.51553576e-06 4.18513944e-07 6.46553825e-08 9.32258207e-09
 1.26019868e-09 1.60329297e-10 1.92647409e-11 2.19296834e-12
 2.37151106e-13 2.44246668e-14 2.40120233e-15 2.25799881e-16
 2.03486338e-17 1.76042707e-18 1.46442616e-19 1.17307695e-20
 9.06131568e-22 6.75796676e-23 4.87211562e-24 3.39921536e-25]","[7.167e-01 2.418e-01 3.730e-02 3.900e-03 3.000e-04 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.18043742e-01
 2.05953827e-01 1.33049818e-01 9.87241798e-02 6.98663426e-02
 5.52855407e-02 3.64520049e-02 2.24787363e-02 1.79222357e-02
 1.42770352e-02 8.50546780e-03 5.46780073e-03 4.25273390e-03
 1.82260024e-03 2.73390036e-03 1.82260024e-03 6.07533414e-04
 1.82260024e-03 0.00000000e+00 6.07533414e-04 3.03766707e-04
 0.00000000e+00 0.00000000e+00 3.03766707e-04]",-0.0089241245605061,0.0462632152253897,0.0517708755277071,"[9.810e-02 2.429e-01 2.822e-01 2.050e-01 1.081e-01 4.260e-02 1.560e-02
 3.900e-03 1.500e-03 0.000e+00 0.000e+00 1.000e-04 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.86246366e-01
 1.23137718e-01 3.39707485e-01 1.64925509e-01 4.40588663e-02
 1.70330669e-02 9.72020349e-03 6.40443314e-03 3.54287791e-03
 1.68059593e-03 1.45348837e-03 6.35901163e-04 4.99636628e-04
 2.72529070e-04 2.27107558e-04 1.36264535e-04 1.36264535e-04
 0.00000000e+00 1.36264535e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.54215116e-05 4.54215116e-05]",0.0035442150913621
2,C2H6_4000K_1280at,"[7.52015120e-02 1.94590225e-01 2.51759271e-01 2.17149415e-01
 1.40473085e-01 7.26971798e-02 3.13516759e-02 1.15892990e-02
 3.74853550e-03 1.07773892e-03 2.78873992e-04 6.56008967e-05
 1.41456522e-05 2.81562020e-06 5.20403829e-07 8.97725728e-08
 1.45183792e-08 2.20985441e-09 3.17676877e-10 4.32639782e-11
 5.59745877e-12 6.89709258e-13 8.11218455e-14 9.12650369e-15
 9.83983100e-16 1.01845555e-16 1.01359201e-17 9.71390520e-19
 8.97698040e-20 8.00989321e-21 6.90875702e-22 5.76677056e-23]","[7.160e-01 2.413e-01 3.860e-02 4.000e-03 1.000e-04 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.19734059e-01
 1.84950136e-01 1.35086129e-01 1.00332427e-01 7.34360834e-02
 4.62375340e-02 3.44514959e-02 3.17316410e-02 1.75279541e-02
 1.99456029e-02 1.14838320e-02 8.76397703e-03 3.32426715e-03
 4.53309157e-03 3.02206105e-03 6.04412209e-04 1.20882442e-03
 9.06618314e-04 9.06618314e-04 9.06618314e-04 6.04412209e-04
 0.00000000e+00 3.02206105e-04 0.00000000e+00]",-0.0094203218295069,0.0421412550044001,0.047596258281509,"[5.360e-02 1.677e-01 2.451e-01 2.342e-01 1.523e-01 8.900e-02 3.790e-02
 1.420e-02 4.000e-03 1.700e-03 1.000e-04 2.000e-04 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.89910097e-01
 1.17160357e-01 3.42347505e-01 1.67448691e-01 4.39843834e-02
 1.66911422e-02 9.13356496e-03 5.55177478e-03 2.47143522e-03
 2.22070991e-03 1.00290125e-03 7.87993839e-04 2.86543214e-04
 3.93996920e-04 1.43271607e-04 1.79089509e-04 1.43271607e-04
 3.58179018e-05 3.58179018e-05 3.58179018e-05 3.58179018e-05
 0.00000000e+00 0.00000000e+00 3.58179018e-05]",0.0027919388080827
3,C4H10_3200K,"[2.07136963e-02 8.03061750e-02 1.55671920e-01 2.01177942e-01
 1.94989716e-01 1.51193471e-01 9.76951769e-02 5.41086153e-02
 2.62221181e-02 1.12957896e-02 4.37933261e-03 1.54349982e-03
 4.98673938e-04 1.48718383e-04 4.11839460e-05 1.06445678e-05
 2.57928532e-06 5.88222727e-07 1.26695337e-07 2.58522511e-08
 5.01140736e-09 9.25191742e-10 1.63042341e-10 2.74829851e-11
 4.43960158e-12 6.88486334e-13 1.02662849e-13 1.47414731e-14
 2.04114656e-15 2.72877374e-16 3.52644900e-17 4.41029104e-18]","[1.256e-01 2.550e-01 2.530e-01 1.795e-01 1.073e-01 4.830e-02 2.040e-02
 6.800e-03 2.900e-03 1.100e-03 1.000e-04 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.11222671 0.09364737 0.08477996
 0.07661631 0.0717838  0.06568453 0.0621188  0.0570517  0.05357981
 0.04884114 0.04386788 0.03884771 0.03532889 0.02979262 0.02707141
 0.022755   0.01862626 0.01412217 0.01163554 0.01093178 0.0083044
 0.00656845 0.00581777 0.02012762]",-0.0085394576155574,0.0501388544244072,0.0591146190345269,"[0.0006 0.0047 0.0193 0.0532 0.1074 0.15   0.1843 0.1683 0.125  0.0888
 0.0521 0.0265 0.0115 0.0057 0.0019 0.0003 0.0004 0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.06641919 0.09243465 0.40685974
 0.24142533 0.06644987 0.02934409 0.02187385 0.01788563 0.01288502
 0.01021598 0.00779237 0.00589029 0.00507731 0.00352804 0.00274574
 0.00223954 0.00173334 0.00156461 0.00116579 0.00098172 0.00052154
 0.00053688 0.0004295  0.00130384]",0.0066814971459663
4,C4H10_3300K,"[2.69180568e-02 9.73076437e-02 1.75881521e-01 2.11934768e-01
 1.91533819e-01 1.38477341e-01 8.34316276e-02 4.30859752e-02
 1.94692486e-02 7.82005726e-03 2.82691783e-03 9.29017191e-04
 2.79863174e-04 7.78225854e-05 2.00946696e-05 4.84275906e-06
 1.09414815e-06 2.32664681e-07 4.67262800e-08 8.89018620e-09
 1.60688247e-09 2.76610123e-10 4.54515439e-11 7.14371393e-12
 1.07600940e-12 1.55589149e-13 2.16326244e-14 2.89633436e-15
 3.73933106e-16 4.66121537e-17 5.61669921e-18 6.54971985e-19]","[1.367e-01 2.632e-01 2.639e-01 1.770e-01 9.330e-02 4.280e-02 1.570e-02
 4.400e-03 2.000e-03 9.000e-04 1.000e-04 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.11628022 0.09719682 0.08528205
 0.07850892 0.06852227 0.06797844 0.06278736 0.05690414 0.05453107
 0.04573095 0.04311069 0.04009492 0.03134424 0.02902062 0.02659811
 0.0237801  0.01710585 0.01601819 0.01151926 0.00934395 0.00805854
 0.00548771 0.00479557 0.01809463]",-0.0070630913926282,0.0447401801165978,0.052783487930783,"[0.0003 0.0069 0.0238 0.0638 0.1122 0.156  0.174  0.1631 0.1256 0.0809
 0.0469 0.0267 0.0135 0.0035 0.002  0.0005 0.0003 0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.07606418 0.09604979 0.39159603
 0.23713758 0.06730679 0.03168298 0.02278485 0.01853126 0.01302662
 0.01000844 0.00810058 0.00639602 0.00508241 0.00372189 0.00300253
 0.00254903 0.00175148 0.00148563 0.0010634  0.00079755 0.00078191
 0.00067244 0.00040659 0.00143871]",0.0060799511179147
5,C4H10_3400K,"[3.29578088e-03 1.88357574e-02 5.38242329e-02 1.02537176e-01
 1.46502865e-01 1.67456060e-01 1.59505027e-01 1.30227017e-01
 9.30327510e-02 5.90769562e-02 3.37631430e-02 1.75418317e-02
 8.35446129e-03 3.67282179e-03 1.49932774e-03 5.71255080e-04
 2.04049178e-04 6.85978786e-05 2.17802539e-05 6.55139966e-06
 1.87209919e-06 5.09488420e-07 1.32353794e-07 3.28876858e-08
 7.83153386e-09 1.79032377e-09 3.93534660e-10 8.32998042e-11
 1.70024187e-11 3.35071481e-12 6.38323698e-13 1.17680372e-13]","[0.1219 0.2501 0.2583 0.1876 0.1018 0.0492 0.021  0.006  0.0031 0.001
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.11250292 0.09530264 0.0850666
 0.07913064 0.07025006 0.06767936 0.05725637 0.05777051 0.05146062
 0.04762795 0.04477682 0.03884085 0.03463426 0.02874503 0.02692218
 0.02065903 0.0180416  0.01696658 0.01355457 0.01145127 0.00930124
 0.00645011 0.00560879 0.02103295]",-0.0080882546124809,0.0727124448866357,0.0829774640085134,"[9.000e-04 5.700e-03 2.450e-02 6.360e-02 1.178e-01 1.638e-01 1.696e-01
 1.610e-01 1.235e-01 8.120e-02 4.710e-02 2.420e-02 9.700e-03 5.000e-03
 1.700e-03 4.000e-04 2.000e-04 1.000e-04 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.0844422  0.09877341 0.38281201
 0.22999306 0.06791953 0.03302958 0.02435833 0.01811503 0.01335372
 0.01086271 0.00835593 0.00652709 0.00498203 0.0041149  0.00294822
 0.00256984 0.00187614 0.00135587 0.00119821 0.00072523 0.000741
 0.00048874 0.00045721 0.00151353]",0.0063459334245451
6,C4H10_3500K,"[1.58612444e-03 1.02248904e-02 3.29571823e-02 7.08190711e-02
 1.14133107e-01 1.47150941e-01 1.58100484e-01 1.45598388e-01
 1.17324304e-01 8.40362924e-02 5.41736740e-02 3.17480468e-02
 1.70552140e-02 8.45736797e-03 3.89429277e-03 1.67362728e-03
 6.74310884e-04 2.55701134e-04 9.15759761e-05 3.10705801e-05
 1.00147652e-05 3.07427621e-06 9.00827449e-07 2.52484767e-07
 6.78180575e-08 1.74874604e-08 4.33585553e-09 1.03521950e-09
 2.38339389e-10 5.29808876e-11 1.13846421e-11 2.36744062e-12]","[0.1213 0.2521 0.2559 0.1812 0.1045 0.0523 0.0214 0.0075 0.0031 0.0007
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.11256557 0.09627257 0.08118646
 0.07645175 0.06911758 0.06651813 0.05890544 0.05969456 0.05171053
 0.04971452 0.0414984  0.03871327 0.03509261 0.03147194 0.02650513
 0.0232094  0.01996008 0.01527178 0.01350787 0.01202247 0.00835538
 0.00663789 0.00561667 0.0207492 ]",-0.0088303151890882,0.0793984433348197,0.0895647899076051,"[4.000e-04 6.000e-03 2.200e-02 5.850e-02 1.170e-01 1.587e-01 1.809e-01
 1.573e-01 1.256e-01 7.980e-02 5.020e-02 2.570e-02 1.020e-02 4.800e-03
 1.800e-03 5.000e-04 4.000e-04 0.000e+00 1.000e-04 1.000e-04 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.09406598 0.1025052  0.36990326
 0.22440496 0.06729492 0.03385063 0.02477066 0.01906637 0.01322144
 0.01125229 0.00823605 0.00664197 0.00512604 0.00492287 0.00362574
 0.00273493 0.00229734 0.0016097  0.00125025 0.00104709 0.00095332
 0.00067201 0.00054699 0.00157845]",0.0062883251683354
7,C4H10_3600K,"[1.75781125e-03 1.11510024e-02 3.53692279e-02 7.47904236e-02
 1.18611738e-01 1.50487121e-01 1.59107170e-01 1.44189415e-01
 1.14336544e-01 8.05905683e-02 5.11241248e-02 2.94832170e-02
 1.55860222e-02 7.60560221e-03 3.44625365e-03 1.45746337e-03
 5.77855609e-04 2.15631438e-04 7.59943392e-05 2.53728534e-05
 8.04787055e-06 2.43110298e-06 7.01006980e-07 1.93346438e-07
 5.11053775e-08 1.29678584e-08 3.16400077e-09 7.43386181e-10
 1.68421729e-10 3.68418806e-11 7.79044389e-12 1.59419770e-12]","[1.398e-01 2.574e-01 2.589e-01 1.793e-01 9.970e-02 4.250e-02 1.410e-02
 6.100e-03 1.600e-03 2.000e-04 4.000e-04 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.11981907 0.10000492 0.08628743
 0.0760116  0.06888244 0.06578495 0.06121245 0.05521412 0.05103496
 0.04542996 0.04351246 0.0397758  0.03421997 0.03190914 0.02473081
 0.02099415 0.01769999 0.01548749 0.01125916 0.01012832 0.00884999
 0.00658833 0.0051625  0.01789665]",-0.0079189188700097,0.0816951977660465,0.0903644092788231,"[3.000e-04 5.100e-03 2.230e-02 5.950e-02 1.041e-01 1.538e-01 1.775e-01
 1.645e-01 1.346e-01 8.560e-02 4.730e-02 2.390e-02 1.290e-02 5.100e-03
 2.500e-03 9.000e-04 1.000e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.10746061 0.10396973 0.35502008
 0.21719184 0.0699722  0.03495521 0.02578004 0.02045103 0.0141489
 0.0113531  0.00914427 0.00644115 0.00549892 0.00446401 0.00344455
 0.00287303 0.00220884 0.00148285 0.00122027 0.00128205 0.00071053
 0.00046339 0.00046339 0.00160643]",0.0059644410878679
8,C4H10_3600K_1120at,"[3.60644130e-04 2.85904921e-03 1.13327262e-02 2.99471782e-02
 5.93524537e-02 9.41047265e-02 1.24337734e-01 1.40814596e-01
 1.39540556e-01 1.22913816e-01 9.74413888e-02 7.02252903e-02
 4.63932781e-02 2.82914021e-02 1.60202467e-02 8.46682732e-03
 4.19511126e-03 1.95630842e-03 8.61603754e-04 3.59498220e-04
 1.42498244e-04 5.37938937e-05 1.93844312e-05 6.68140795e-06
 2.20698566e-06 6.99845647e-07 2.13388829e-07 6.26542708e-08
 1.77392564e-08 4.84931255e-09 1.28145006e-09 3.27704763e-10]","[0.1052 0.2195 0.2542 0.19   0.1192 0.063  0.0286 0.0127 0.0046 0.0018
 0.0008 0.0004 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.    ]","[0.         0.         0.         0.10158226 0.0845161  0.07401055
 0.07139488 0.06389091 0.06153252 0.05694438 0.05420008 0.05428584
 0.04888298 0.04626731 0.04009262 0.03790575 0.03537584 0.03224562
 0.02830067 0.02298358 0.02066807 0.01655161 0.01607993 0.01132027
 0.01166331 0.00930492 0.03580464]",-0.0065329395782928,0.0809071964736388,0.0880586686490156,"[2.000e-04 1.800e-03 6.600e-03 2.380e-02 5.240e-02 9.310e-02 1.306e-01
 1.541e-01 1.605e-01 1.266e-01 1.000e-01 7.000e-02 4.190e-02 2.040e-02
 9.600e-03 5.500e-03 1.900e-03 6.000e-04 0.000e+00 3.000e-04 0.000e+00
 1.000e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.1054695  0.09972289 0.36231755
 0.2260462  0.06828253 0.031849   0.02278213 0.01810822 0.01399619
 0.01031836 0.00890086 0.00658945 0.00560614 0.00423972 0.00352459
 0.00263067 0.00228587 0.00177506 0.00149412 0.00137919 0.00091946
 0.00095777 0.00080453 0.00252851]",0.0053437837205992
9,C4H10_4000K,"[6.48845922e-03 3.26871069e-02 8.23344125e-02 1.38259518e-01
 1.74128537e-01 1.75442518e-01 1.47305344e-01 1.06012083e-01
 6.67575337e-02 3.73673825e-02 1.88246791e-02 8.62124127e-03
 3.61929061e-03 1.40253920e-03 5.04686718e-04 1.69498367e-04
 5.33679401e-05 1.58148990e-05 4.42617744e-06 1.17357304e-06
 2.95607216e-07 7.09137806e-08 1.62383861e-08 3.55672207e-09
 7.46575255e-10 1.50441788e-10 2.91494283e-11 5.43877610e-12
 9.78538805e-13 1.69986706e-13 2.85449053e-14 4.63875907e-15]","[1.358e-01 2.641e-01 2.571e-01 1.821e-01 9.550e-02 4.040e-02 1.700e-02
 5.400e-03 2.300e-03 2.000e-04 1.000e-04 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.11842948 0.09759101 0.08517661
 0.08148185 0.0687226  0.06488004 0.06138233 0.05640672 0.04931277
 0.04704665 0.04285925 0.03714469 0.03497709 0.03113454 0.0255185
 0.02197153 0.01916351 0.014582   0.01211882 0.00950786 0.00788216
 0.00650278 0.0062072  0.01955761]",-0.0068090670615575,0.0614503941618931,0.0677982445037052,"[4.000e-04 4.800e-03 1.870e-02 4.910e-02 9.340e-02 1.410e-01 1.671e-01
 1.698e-01 1.333e-01 9.990e-02 6.020e-02 3.570e-02 1.550e-02 6.700e-03
 2.800e-03 7.000e-04 7.000e-04 1.000e-04 0.000e+00 1.000e-04 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.         0.         0.         0.16381175 0.1093412  0.31164982
 0.19919687 0.07102214 0.03473313 0.02536822 0.02083395 0.01495125
 0.01099487 0.00958717 0.00654951 0.00524553 0.00428237 0.00333402
 0.00262277 0.00210414 0.00136325 0.00106689 0.00059272 0.00063717
 0.00038527 0.00032599 0.00125952]",0.0067091944026681
