,InitComp,Temp,Nc,Nh,Ncc,Nch,Nhh,CDegDist,HDegDist,r,Nc3h,Nc4h
C4H10_3200K_1,C4H10,3200,256,640,196.19766231686813,622.7481786886558,8.466335761748459,"[0.00000000e+00 0.00000000e+00 1.71529751e-04 3.51528100e-02
 9.63775637e-01 9.00023017e-04]",[5.28755704e-04 9.99441160e-01 3.00841606e-05],-0.5947404748691892,8.300536386198063,613.8351212873268
C4H10_3200K_2,C4H10,3200,256,640,193.3337081358927,630.4421733194121,4.605132117902176,"[0.00000000e+00 0.00000000e+00 1.14197655e-04 2.78101094e-02
 9.70952854e-01 1.12283903e-03]",[5.75819713e-04 9.99391427e-01 3.27533933e-05],-0.6105357026715948,7.269215324070355,622.4316520761384
C4H10_3300K_1,C4H10,3300,256,640,192.4380293159609,627.2442182410423,6.224714983713355,[0.         0.         0.00098245 0.04564937 0.95215909 0.00120909],[5.25244300e-04 9.99428186e-01 4.65696254e-05],-0.6092137137764313,11.762214983713354,614.6402687296417
C4H10_3300K_2,C4H10,3300,256,640,194.59902974901772,623.881685510384,7.869417047550317,"[0.00000000e+00 0.00000000e+00 6.25826918e-04 4.27275655e-02
 9.55324634e-01 1.32197323e-03]",[6.43868776e-04 9.99305201e-01 5.09306591e-05],-0.6008926603925937,10.059578221473819,612.9291957341031
C4H10_3400K_1,C4H10,3400,256,640,195.77802681608966,620.1761456874125,9.689893936361818,"[0.00000000e+00 0.00000000e+00 7.19025165e-04 4.79012407e-02
 9.49961539e-01 1.41819467e-03]",[7.48574144e-04 9.99196706e-01 5.47203322e-05],-0.5919360937472369,12.19439663798279,607.008124874925
C4H10_3400K_2,C4H10,3400,256,640,193.6662398463447,621.0720659437397,9.196590772678164,"[0.00000000e+00 1.56306270e-07 9.09546187e-04 6.06479270e-02
 9.36894626e-01 1.54774469e-03]",[8.95947541e-04 9.99043656e-01 6.03967428e-05],-0.6007647468178593,14.4153495258293,605.5741266856069
C4H10_3500K_1,C4H10,3500,256,640,195.6099279423539,614.4713771016814,12.380224179343475,[0.         0.         0.00152778 0.07041711 0.92610104 0.00195406],[1.29722528e-03 9.98605822e-01 9.69525620e-05],-0.5892046415038126,16.097077662129703,597.0117694155324
C4H10_3500K_2,C4H10,3500,256,640,194.03549135723432,618.7892525608195,10.299935979513444,"[0.00000000e+00 1.71930018e-06 1.34793134e-03 6.59551682e-02
 9.30991198e-01 1.70398277e-03]",[1.03883243e-03 9.98876828e-01 8.43394886e-05],-0.5988961119964371,14.674335787451984,602.9151728553137
C4H10_3600K_1,C4H10,3600,256,640,194.5976951702613,613.9111280060822,12.620063222760194,[0.         0.         0.00171843 0.08059433 0.91527153 0.00241571],[1.45302309e-03 9.98420119e-01 1.26858169e-04],-0.5898214500427696,19.6254251530551,592.6277459885558
C4H10_3600K_2,C4H10,3600,256,640,194.62350945723685,612.5397820723684,13.323756167763158,"[0.00000000e+00 1.20464124e-06 2.29624698e-03 8.44172428e-02
 9.11042665e-01 2.24264045e-03]",[1.39256528e-03 9.98484722e-01 1.22712788e-04],-0.5913203480316698,18.797183388157894,592.1659128289474
C4H10_3600K_1120at_1,C4H10,3600,320,800,241.62457294698217,770.1669408241596,14.392087392973133,"[0.00000000e+00 2.63612974e-07 1.76198912e-03 8.18632956e-02
 9.14061116e-01 2.31333565e-03]",[1.43194567e-03 9.98447214e-01 1.20840187e-04],-0.5971765973163506,24.22890041756295,743.8698384579695
C4H10_3600K_1120at_2,C4H10,3600,320,800,243.67174162836506,767.5555646749835,15.773801707156927,"[0.00000000e+00 1.28241957e-07 1.42810243e-03 7.78651818e-02
 9.18425291e-01 2.28129617e-03]",[1.23538042e-03 9.98650279e-01 1.14340529e-04],-0.589539213768247,23.128570256073537,742.4437787261983
C4H10_4000K_1,C4H10,4000,256,640,194.75980784627703,600.9896917534027,18.779223378702962,"[0.00000000e+00 3.90937750e-06 4.24832053e-03 1.26479308e-01
 8.65104975e-01 4.16348704e-03]",[2.58581865e-03 9.97096896e-01 3.17285078e-04],-0.5749326682091626,31.472177742193754,566.4562650120096
C4H10_4000K_2,C4H10,4000,256,640,192.04573658927143,611.8070456365092,13.396417133706965,"[0.00000000e+00 7.81875500e-07 3.53759570e-03 1.07142355e-01
 8.84873133e-01 4.44613503e-03]",[2.49027347e-03 9.97207141e-01 3.02585819e-04],-0.5901488926057255,29.656725380304245,578.9233386709368
C4H10_4500K_1,C4H10,4500,256,640,199.85416666666666,573.3790064102565,31.822115384615383,"[0.00000000e+00 3.52125901e-05 1.00770608e-02 1.85939691e-01
 7.96632424e-01 7.31561123e-03]",[5.44496194e-03 9.93761268e-01 7.93770032e-04],-0.5228533670148081,50.50120192307692,517.1450320512821
C4H10_4500K_2,C4H10,4500,256,640,197.11818910256412,581.2948717948718,27.91786858974359,"[0.00000000e+00 3.28650841e-05 8.17949344e-03 1.80215689e-01
 8.04235996e-01 7.33595628e-03]",[5.28752254e-03 9.93908378e-01 8.04099058e-04],-0.5370282636291582,51.08293269230769,524.4893830128206
C4H10_5000K_1,C4H10,5000,256,640,198.92207532051282,562.1666666666666,36.40464743589744,"[7.82502003e-07 1.27547827e-04 1.62189190e-02 2.28501540e-01
 7.43795542e-01 1.13556691e-02]",[0.00945732 0.98893573 0.00160695],-0.5016209190782487,68.72115384615384,483.86758814102564
C4H10_5000K_2,C4H10,5000,256,640,198.47165259348614,564.6079613992763,35.149577804583835,"[0.00000000e+00 1.62564083e-04 1.64119044e-02 2.21786886e-01
 7.50485336e-01 1.11533097e-02]",[0.00968034 0.98859695 0.00172271],-0.5088561481606437,65.58082026537997,489.642943305187
